5.1 | Рабочими днями являются все дни в этом отрезке: Понедельник-Пятница.

5.2 | Выходными днями являются все дни в это отрезке: Суббота-Воскресенье.

5.3 | Обеденный перерыв проходит в этом отрезке времени: 13:00-14:00.

5.4 | График работы с понедельника по пятницу: 11:00-18:00.

5.5 | Сотрудник обязан находиться в офисе своего подразделения на момент рабочего времени.

5.6 | Сотрудник имеет право покинуть офис во время рабочего времени только при наличии разрешения от Руководства.

5.7 | Разрешено принимать участие в "Гонках", "Казаках-Разбойниках", админских мероприятиях на момент рабочего времени.

5.8 | Запрещено играть в казино на момент рабочего времени.

5.9 | При нарушении данных правил сотрудник Младшего состава будет уволен, сотрудник Руководства получит предупреждение.

5.1.1 | Вне рабочего времени сотрудник не обязан соблюдать Дресс-Код.
5.1.2 | Сотрудник обязан явиться в офис по просьбе Директора, Управляющего СМИ или сотрудника Руководства.
5.1.3 | Изменять рабочий график имеет право только Управляющий СМИ.
5.1.4 | Запрещено спать в рабочее время сотрудникам Руководства.
